"REF_DATE","GEO","DGUID","Population and dwelling counts (3)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021","B0P","2021A0011B0P","Total private dwellings, 2021","","0","units","0","","45.2","19438","","","","0"
"2021","B0P","2021A0011B0P","Private dwellings occupied by usual residents, 2021","","0","units","0","","45.3","17644","","","","0"
"2021","B0R","2021A0011B0R","Population, 2021","","0","units","0","","46.1","6090","","","","0"
"2021","B0R","2021A0011B0R","Total private dwellings, 2021","","0","units","0","","46.2","3802","","","","0"
"2021","B0R","2021A0011B0R","Private dwellings occupied by usual residents, 2021","","0","units","0","","46.3","2819","","","","0"
"2021","B0S","2021A0011B0S","Population, 2021","","0","units","0","","47.1","17873","","","","0"
"2021","B0S","2021A0011B0S","Total private dwellings, 2021","","0","units","0","","47.2","10114","","","","0"
"2021","B0S","2021A0011B0S","Private dwellings occupied by usual residents, 2021","","0","units","0","","47.3","8445","","","","0"
"2021","B0T","2021A0011B0T","Population, 2021","","0","units","0","","48.1","14729","","","","0"
"2021","B0T","2021A0011B0T","Total private dwellings, 2021","","0","units","0","","48.2","9297","","","","0"
"2021","B0T","2021A0011B0T","Private dwellings occupied by usual residents, 2021","","0","units","0","","48.3","6954","","","","0"
"2021","B0V","2021A0011B0V","Population, 2021","","0","units","0","","49.1","5658","","","","0"
"2021","B0V","2021A0011B0V","Total private dwellings, 2021","","0","units","0","","49.2","3152","","","","0"
"2021","B0V","2021A0011B0V","Private dwellings occupied by usual residents, 2021","","0","units","0","","49.3","2752","","","","0"
"2021","B0W","2021A0011B0W","Population, 2021","","0","units","0","","50.1","25890","","","","0"
"2021","B0W","2021A0011B0W","Total private dwellings, 2021","","0","units","0","","50.2","13895","","","","0"
"2021","B0W","2021A0011B0W","Private dwellings occupied by usual residents, 2021","","0","units","0","","50.3","11887","","","","0"
"2021","B1A","2021A0011B1A","Population, 2021","","0","units","0","","51.1","14988","","","","0"
"2021","B1A","2021A0011B1A","Total private dwellings, 2021","","0","units","0","","51.2","7320","","","","0"
"2021","B1A","2021A0011B1A","Private dwellings occupied by usual residents, 2021","","0","units","0","","51.3","6764","","","","0"
"2021","B1B","2021A0011B1B","Population, 2021","","0","units","0","","52.1","1237","","","","0"
"2021","B1B","2021A0011B1B","Total private dwellings, 2021","","0","units","0","","52.2","673","","","","0"
"2021","B1B","2021A0011B1B","Private dwellings occupied by usual residents, 2021","","0","units","0","","52.3","574","","","","0"
"2021","B1C","2021A0011B1C","Population, 2021","","0","units","0","","53.1","1698","","","","0"
"2021","B1C","2021A0011B1C","Total private dwellings, 2021","","0","units","0","","53.2","914","","","","0"
"2021","B1C","2021A0011B1C","Private dwellings occupied by usual residents, 2021","","0","units","0","","53.3","784","","","","0"
"2021","B1E","2021A0011B1E","Population, 2021","","0","units","0","","54.1","1533","","","","0"
"2021","B1E","2021A0011B1E","Total private dwellings, 2021","","0","units","0","","54.2","754","","","","0"
"2021","B1E","2021A0011B1E","Private dwellings occupied by usual residents, 2021","","0","units","0","","54.3","688","","","","0"
"2021","B1G","2021A0011B1G","Population, 2021","","0","units","0","","55.1","1796","","","","0"
"2021","B1G","2021A0011B1G","Total private dwellings, 2021","","0","units","0","","55.2","925","","","","0"
"2021","B1G","2021A0011B1G","Private dwellings occupied by usual residents, 2021","","0","units","0","","55.3","848","","","","0"
"2021","B1H","2021A0011B1H","Population, 2021","","0","units","0","","56.1","9146","","","","0"
"2021","B1H","2021A0011B1H","Total private dwellings, 2021","","0","units","0","","56.2","4580","","","","0"
"2021","B1H","2021A0011B1H","Private dwellings occupied by usual residents, 2021","","0","units","0","","56.3","4271","","","","0"
"2021","B1J","2021A0011B1J","Population, 2021","","0","units","0","","57.1","1148","","","","0"
"2021","B1J","2021A0011B1J","Total private dwellings, 2021","","0","units","0","","57.2","893","","","","0"
"2021","B1J","2021A0011B1J","Private dwellings occupied by usual residents, 2021","","0","units","0","","57.3","573","","","","0"
"2021","B1K","2021A0011B1K","Population, 2021","","0","units","0","","58.1","3336","","","","0"
"2021","B1K","2021A0011B1K","Total private dwellings, 2021","","0","units","0","","58.2","2100","","","","0"
"2021","B1K","2021A0011B1K","Private dwellings occupied by usual residents, 2021","","0","units","0","","58.3","1504","","","","0"
"2021","B1L","2021A0011B1L","Population, 2021","","0","units","0","","59.1","4952","","","","0"
"2021","B1L","2021A0011B1L","Total private dwellings, 2021","","0","units","0","","59.2","2140","","","","0"
"2021","B1L","2021A0011B1L","Private dwellings occupied by usual residents, 2021","","0","units","0","","59.3","2053","","","","0"
"2021","B1M","2021A0011B1M","Population, 2021","","0","units","0","","60.1","1271","","","","0"
"2021","B1M","2021A0011B1M","Total private dwellings, 2021","","0","units","0","","60.2","537","","","","0"
"2021","B1M","2021A0011B1M","Private dwellings occupied by usual residents, 2021","","0","units","0","","60.3","515","","","","0"
"2021","B1N","2021A0011B1N","Population, 2021","","0","units","0","","61.1","5605","","","","0"
"2021","B1N","2021A0011B1N","Total private dwellings, 2021","","0","units","0","","61.2","2670","","","","0"
"2021","B1N","2021A0011B1N","Private dwellings occupied by usual residents, 2021","","0","units","0","","61.3","2487","","","","0"
"2021","B1P","2021A0011B1P","Population, 2021","","0","units","0","","62.1","14704","","","","0"
"2021","B1P","2021A0011B1P","Total private dwellings, 2021","","0","units","0","","62.2","7580","","","","0"
"2021","B1P","2021A0011B1P","Private dwellings occupied by usual residents, 2021","","0","units","0","","62.3","6982","","","","0"
"2021","B1R","2021A0011B1R","Population, 2021","","0","units","0","","63.1","4478","","","","0"
"2021","B1R","2021A0011B1R","Total private dwellings, 2021","","0","units","0","","63.2","1967","","","","0"
"2021","B1R","2021A0011B1R","Private dwellings occupied by usual residents, 2021","","0","units","0","","63.3","1892","","","","0"
"2021","B1S","2021A0011B1S","Population, 2021","","0","units","0","","64.1","8826","","","","0"
"2021","B1S","2021A0011B1S","Total private dwellings, 2021","","0","units","0","","64.2","3977","","","","0"
"2021","B1S","2021A0011B1S","Private dwellings occupied by usual residents, 2021","","0","units","0","","64.3","3786","","","","0"
"2021","B1T","2021A0011B1T","Population, 2021","","0","units","0","","65.1","400","","","","0"
"2021","B1T","2021A0011B1T","Total private dwellings, 2021","","0","units","0","","65.2","332","","","","0"
"2021","B1T","2021A0011B1T","Private dwellings occupied by usual residents, 2021","","0","units","0","","65.3","199","","","","0"
"2021","B1V","2021A0011B1V","Population, 2021","","0","units","0","","66.1","6088","","","","0"
"2021","B1V","2021A0011B1V","Total private dwellings, 2021","","0","units","0","","66.2","2928","","","","0"
"2021","B1V","2021A0011B1V","Private dwellings occupied by usual residents, 2021","","0","units","0","","66.3","2733","","","","0"
"2021","B1W","2021A0011B1W","Population, 2021","","0","units","0","","67.1","3521","","","","0"
"2021","B1W","2021A0011B1W","Total private dwellings, 2021","","0","units","0","","67.2","1138","","","","0"
"2021","B1W","2021A0011B1W","Private dwellings occupied by usual residents, 2021","","0","units","0","","67.3","1081","","","","0"
"2021","B1X","2021A0011B1X","Population, 2021","","0","units","0","","68.1","921","","","","0"
"2021","B1X","2021A0011B1X","Total private dwellings, 2021","","0","units","0","","68.2","607","","","","0"
"2021","B1X","2021A0011B1X","Private dwellings occupied by usual residents, 2021","","0","units","0","","68.3","413","","","","0"
"2021","B1Y","2021A0011B1Y","Population, 2021","","0","units","0","","69.1","5941","","","","0"
"2021","B1Y","2021A0011B1Y","Total private dwellings, 2021","","0","units","0","","69.2","2906","","","","0"
"2021","B1Y","2021A0011B1Y","Private dwellings occupied by usual residents, 2021","","0","units","0","","69.3","2633","","","","0"
"2021","B2A","2021A0011B2A","Population, 2021","","0","units","0","","70.1","7711","","","","0"
"2021","B2A","2021A0011B2A","Total private dwellings, 2021","","0","units","0","","70.2","3725","","","","0"
"2021","B2A","2021A0011B2A","Private dwellings occupied by usual residents, 2021","","0","units","0","","70.3","3461","","","","0"
"2021","B2C","2021A0011B2C","Population, 2021","","0","units","0","","71.1","262","","","","0"
"2021","B2C","2021A0011B2C","Total private dwellings, 2021","","0","units","0","","71.2","174","","","","0"
"2021","B2C","2021A0011B2C","Private dwellings occupied by usual residents, 2021","","0","units","0","","71.3","132","","","","0"
"2021","B2E","2021A0011B2E","Population, 2021","","0","units","0","","72.1","54","","","","0"
"2021","B2E","2021A0011B2E","Total private dwellings, 2021","","0","units","0","","72.2","129","","","","0"
"2021","B2E","2021A0011B2E","Private dwellings occupied by usual residents, 2021","","0","units","0","","72.3","31","","","","0"
